Id,packedCAP
0with0,0.0
0with1,0.0
0with2,0.0
0with3,0.0
0with4,0.0
0with5,0.0
0with6,0.0
0with7,0.0
0with8,0.0
0with9,0.0
0with10,0.0
0with11,0.0
0with12,0.0
0with13,0.0
0with14,0.02931539712641764
0with15,0.0
0with16,0.0
0with17,0.0
0with18,0.0
0with19,0.0
1with0,0.0
1with1,0.0
1with2,0.0
1with3,0.0
1with4,0.0
1with5,0.0
1with6,0.0
1with7,0.0
1with8,0.0
1with9,0.0
1with10,0.0
1with11,0.0
1with12,0.0
1with13,0.0
1with14,0.03239390348822798
1with15,0.0
1with16,0.0
1with17,0.0
1with18,0.0
1with19,0.0
2with0,0.0
2with1,0.0
2with2,0.0
2with3,0.0
2with4,0.0
2with5,0.0
2with6,0.0
2with7,0.0
2with8,0.0
2with9,0.0
2with10,0.0
2with11,0.0
2with12,0.0
2with13,0.0
2with14,0.02177539655037032
2with15,0.0
2with16,0.0
2with17,0.0
2with18,0.0
2with19,0.0
3with0,0.0
3with1,0.0
3with2,0.0
3with3,0.0
3with4,0.0
3with5,0.0
3with6,0.0
3with7,0.0
3with8,0.0
3with9,0.0
3with10,0.0
3with11,0.0
3with12,0.0
3with13,0.0
3with14,0.018009152879232472
3with15,0.0
3with16,0.0
3with17,0.0
3with18,0.0
3with19,0.0
4with0,0.0
4with1,0.0
4with2,0.0
4with3,0.0
4with4,0.0
4with5,0.0
4with6,0.0
4with7,0.0
4with8,0.0
4with9,0.0
4with10,0.0
4with11,0.0
4with12,0.0
4with13,0.0
4with14,0.025383487456254593
4with15,0.0
4with16,0.0
4with17,0.0
4with18,0.0
4with19,0.0
5with0,0.0
5with1,0.0
5with2,0.0
5with3,0.0
5with4,0.0
5with5,0.0
5with6,0.0
5with7,0.0
5with8,0.0
5with9,0.0
5with10,0.0
5with11,0.0
5with12,0.0
5with13,0.0
5with14,0.02096482401397967
5with15,0.0
5with16,0.0
5with17,0.0
5with18,0.0
5with19,0.0
6with0,0.0
6with1,0.0
6with2,0.0
6with3,0.0
6with4,0.0
6with5,0.0
6with6,0.0
6with7,0.0
6with8,0.0
6with9,0.0
6with10,0.0
6with11,0.0
6with12,0.0
6with13,0.0
6with14,0.026713840096104453
6with15,0.0
6with16,0.0
6with17,0.0
6with18,0.0
6with19,0.0
7with0,0.0
7with1,0.0
7with2,0.0
7with3,0.0
7with4,0.0
7with5,0.0
7with6,0.0
7with7,0.0
7with8,0.0
7with9,0.0
7with10,0.0
7with11,0.0
7with12,0.0
7with13,0.0
7with14,0.03406552537468266
7with15,0.0
7with16,0.0
7with17,0.0
7with18,0.0
7with19,0.0
8with0,0.0
8with1,0.0
8with2,0.0
8with3,0.0
8with4,0.0
8with5,0.0
8with6,0.0
8with7,0.0
8with8,0.0
8with9,0.0
8with10,0.0
8with11,0.0
8with12,0.0
8with13,0.0
8with14,0.029348649923962557
8with15,0.0
8with16,0.0
8with17,0.0
8with18,0.0
8with19,0.0
9with0,0.0
9with1,0.0
9with2,0.0
9with3,0.0
9with4,0.0
9with5,0.0
9with6,0.0
9with7,0.0
9with8,0.0
9with9,0.0
9with10,0.0
9with11,0.0
9with12,0.0
9with13,0.0
9with14,0.03788664603882165
9with15,0.0
9with16,0.0
9with17,0.0
9with18,0.0
9with19,0.0
